"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"3717","2.895688","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3719","2.896463","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3721","2.896742","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","24.0"
"3723","2.897283","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3725","2.898039","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3727","2.898336","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","24.0"
"3729","2.899067","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3731","2.899841","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3733","2.900381","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3735","2.901477","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3737","2.902233","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3739","2.903504","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3741","2.904124","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3743","2.904491","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3745","2.905018","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3747","2.906114","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3749","2.906861","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3751","2.907699","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3753","2.908256","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3755","2.908813","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3757","2.909144","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3759","2.909915","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3761","2.910246","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3763","2.910981","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3765","2.911529","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3767","2.912285","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3769","2.912679","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3771","2.913496","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3773","2.913824","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","18.0"
"3775","2.915002","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3777","2.915758","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3779","2.916360","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3781","2.917649","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3783","2.918423","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3785","2.918876","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3787","2.919439","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3789","2.920910","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3791","2.921345","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3793","2.921840","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3795","2.922593","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3797","2.923159","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3799","2.923603","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3801","2.924338","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3803","2.924913","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3805","2.925669","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3807","2.926417","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3809","2.926852","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3811","2.927275","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3813","2.927698","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3815","2.928469","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3817","2.928913","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3819","2.929336","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3821","2.930533","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3823","2.931268","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3825","2.932799","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3827","2.933279","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3829","2.935562","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3831","2.936006","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3833","2.936795","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3835","2.937551","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3837","2.939735","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3839","2.940482","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3841","2.941310","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3843","2.941858","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3845","2.942606","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3847","2.943154","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3849","2.943711","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3851","2.944425","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3853","2.944964","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3855","2.945729","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3857","2.946973","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3859","2.947530","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3861","2.948096","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3863","2.948662","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3865","2.949238","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3867","2.950057","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3869","2.951301","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3871","2.952084","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3873","2.952650","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3875","2.953234","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3877","2.953981","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3879","2.954548","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3881","2.955123","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3883","2.955888","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3885","2.956427","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3887","2.957210","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3889","2.957767","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3891","2.958306","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3893","2.959559","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3895","2.960333","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3897","2.960881","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3899","2.961683","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3901","2.962430","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3903","2.962978","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3905","2.963517","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3907","2.964056","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3909","2.964613","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3911","2.965360","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3913","2.965795","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3915","2.966245","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"3917","2.967244","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3919","2.968045","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3921","2.968801","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3924","2.970423","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
